© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Breast Cancer Regulation by Stathmin1	3.25E00	1.09E-01	-0.896	ADRA2A,ARHGEF12,AURKB,AVPR1A,BMP6,C5AR1,CCND2,CCR1,CDK1,CDK6,CDKN1B,CREB5,CXCR1,EGF,F2R,FFAR2,FOXM1,FPR1,FPR2,GNAQ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GPR160,HRH2,JUN,KRAS,LPAR5,LPAR6,MMP9,OXTR,P2RY1,P2RY12,P2RY13,PAK1,PIK3C3,PIK3CB,PLCB4,PPM1L,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PPP4C,PRKACB,PRKAR1A,PRKAR2B,PTGER2,RAC2,RALB,RAP1B,RAP2B,STMN1,TGFB1,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1	
Signal regulatory protein family interactions	3.22E00	3.75E-01	0.000	CD47,PTK2,SIRPA,SIRPB1,SKAP2,TYROBP	
Rap1 signalling	3.22E00	3.75E-01	1.633	PRKACB,PRKG1,RAP1B,RASGRP2,YWHAB,YWHAZ	
Chemokine Signaling	3.2E00	1.85E-01	0.775	CALM1 (includes others),CCL5,FOS,GNAI3,GNAQ,JUN,KRAS,LIMK2,PLCB4,PPP1CB,PTK2,RALB,RAP1B,RAP2B,ROCK2	
Interconversion of nucleotide di- and triphosphates	3.18E00	3.18E-01	-1.890	CMPK1,DTYMK,DUT,GLRX,GUK1,NME2,TXN	
Wound Healing Signaling Pathway	3.16E00	1.31E-01	-0.870	ACVR1,ACVR2A,CCL5,CEBPB,COL17A1,COL24A1,EGF,FN1,FOS,IFNGR2,IL18RAP,IL1B,IL1RN,ITGB1,JUN,KRAS,MMP8,MMP9,NFKBIA,NFKBIB,PDGFA,PF4,RALB,RAP1B,RAP2B,STAT1,TGFB1,TNFRSF1A,TNFSF10,TNFSF13B,TNFSF14,TNFSF4,VIM	
Phagosome Maturation	3.12E00	1.46E-01	NaN	B2M,CALR,CTSG,CTSL,DYNC1I1,DYNC1LI2,DYNLL1,DYNLRB1,MPO,NCF2,PIK3C3,PRDX2,PRDX5,PRDX6,RAC2,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1,VAMP3,VPS37A,VPS41	
Acute Myeloid Leukemia Signaling	3.11E00	1.76E-01	1.667	AKT3,CSF2RB,CSF3R,IDH1,IDH3B,KRAS,PIK3C3,PIK3CB,PIM1,RALB,RAP1B,RAP2B,RARA,RELB,RUNX1,SPI1	
Necroptosis Signaling Pathway	3.1E00	1.48E-01	-2.294	CASP1,CHP1,DNM1L,EIF2AK2,IFNAR1,NLRP3,PELI1,PLA2G12A,PLA2G4A,PPP3R1,PYCARD,SLC25A3,STAT1,TIMM13,TLR4,TNFRSF1A,TNFSF10,TNIP1,TSPO,UBC,VDAC1,VDAC3,ZBP1	
RHO GTPases Activate WASPs and WAVEs	3.08E00	2.5E-01	1.667	ABI1,ABI2,ARPC2,ARPC3,BRK1,NCKAP1,PTK2,WASF3,WIPF1	
Acute Phase Response Signaling	3.06E00	1.41E-01	-1.528	AKT3,C1QB,C1R,CEBPB,FGB,FN1,FOS,HP,HRG,IL1B,IL1RN,JUN,KRAS,MAP3K5,MYD88,NFKBIA,NFKBIB,PIK3CB,RALB,RAP1B,RAP2B,RELB,SERPINA1,SERPING1,SOCS3,TNFRSF1A	
eNOS Signaling	3.06E00	1.47E-01	3.500	AKT3,AQP9,CALM1 (includes others),CCNA2,GNAQ,GNAS,GUCY1A1,GUCY1B1,HSP90AA1,HSP90B1,HSPA5,HSPA9,ITPR1,ITPR2,LPAR5,LPAR6,PIK3C3,PIK3CB,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,PRKG1	
MSP-RON Signaling in Macrophages Pathway	3.05E00	1.6E-01	-0.471	ARG1,CREB5,FOS,GAB2,HLA-DOA,IFNGR2,ITGB2,JUN,KRAS,NFKBIZ,PIK3C3,PIK3CB,RALB,RAP1B,RAP2B,RELB,SOCS3,STAT1,TLR4	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	3.04E00	1.23E-01	-1.859	ADAM10,ADAM22,ADAM9,AKT3,CALM1 (includes others),CHP1,COL17A1,COL24A1,CREB5,FCGR1A,FCGR3A/FCGR3B,FOS,GSK3B,IL18RAP,IL1B,IL7,JUN,KRAS,MAP3K5,MMP8,MMP9,NAIP,NFKBIA,NFKBIB,PIK3C3,PIK3CB,PPP3R1,PTPN1,RAC2,RALB,RAP1B,RAP2B,RHOG,SPI1,TEC,TLR4,TNFRSF1A,TYROBP	
Transcriptional regulation of white adipocyte differentiation	3.03E00	1.79E-01	-1.291	CD36,CDK19,CEBPB,CEBPD,CHD9,FABP4,MED13L,MED29,MED30,MED8,NCOA2,PPARG,SMARCD3,TBL1XR1,TGFB1	
NAFLD Signaling Pathway	3.03E00	1.33E-01	-3.286	AKT3,ATP2A2,BCL2L11,CASP1,CD36,DDIT3,FOS,GSK3B,IL1B,IRS1,JUN,MAP3K5,MYD88,NLRP3,PIK3C3,PIK3CB,PPM1L,PPP2R5C,PRKAA1,PYCARD,SOCS3,TGFB1,TLR1,TLR4,TNFRSF1A,TNFSF10,TNFSF13B,TNFSF14,TNFSF4,XBP1	
Sperm Motility	3.01E00	1.28E-01	3.638	CALM1 (includes others),FER,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,PEAK1,PLA2G12A,PLA2G4A,PLAAT1,PLCB4,PLCH1,PNPLA8,PRDX6,PRKACB,PRKAR1A,PRKAR2B,PRKG1,PTK2,PTK7,TEC	
IL-6 Signaling	3.01E00	1.55E-01	-1.606	AKT3,CEBPB,FOS,IL18RAP,IL1B,IL1RN,JUN,KRAS,MAP4K4,MCL1,NFKBIA,NFKBIB,PIK3C3,PIK3CB,RALB,RAP1B,RAP2B,RELB,SOCS3,TNFRSF1A	
Actin Nucleation by ARP-WASP Complex	3.01E00	1.72E-01	-0.302	ARPC2,ARPC3,ITGA2,ITGB1,ITGB2,ITGB5,KRAS,NCK2,RAC2,RALB,RAP1B,RAP2B,RHOG,ROCK2,VASP,WIPF1	
p38 MAPK Signaling	3E00	1.58E-01	-0.471	CREB5,DDIT3,DUSP1,DUSP10,H3-3A/H3-3B,H3C3,IL18RAP,IL1B,IL1RN,MAP3K5,MAX,MEF2C,MKNK2,PLA2G12A,PLA2G4A,RPS6KC1,STAT1,TGFB1,TNFRSF1A	
Macropinocytosis Signaling	3E00	1.84E-01	0.333	ABI1,ARF6,EGF,ITGB1,ITGB2,ITGB5,KRAS,PAK1,PDGFA,PIK3C3,PIK3CB,RALB,RAP1B,RAP2B	
MicroRNA Biogenesis Signaling Pathway	2.99E00	1.39E-01	-0.784	AGO4,AKT3,BMP6,DNAJB1,EGF,HNRNPA2B1,HNRNPD,HSP90AA1,HSP90B1,ILF2,KRAS,NUP214,NUP50,PIK3C3,PIK3CB,POLR2J,POLR2K,POLR2L,RALB,RAP1B,RAP2B,SEC13,SMAD2,SRSF1,SRSF3,TGFB1	
RNA Polymerase II Transcription	2.96E00	1.48E-01	-3.411	CASC3,ELL,ELOB,FIP1L1,GTF2E2,MAGOH,MAGOHB,POLR2J,POLR2K,POLR2L,SLU7,SNRPF,SNRPG,SRSF1,SRSF3,SRSF6,SRSF7,SRSF9,SSRP1,TAF12,TAF15,ZNF473	
Natural Killer Cell Signaling	2.96E00	1.36E-01	-1.177	AKT3,B2M,CD226,FCGR3A/FCGR3B,HSPA5,HSPA9,IL18RAP,ITGB1,KRAS,LIMK2,MAP3K5,MYD88,NFAT5,PAK1,PAK2,PIK3C3,PIK3CB,PXN,RAC2,RALB,RAP1B,RAP2B,RASSF5,RELB,TNFSF10,TYROBP,WIPF1	
Interferon gamma signaling	2.96E00	1.7E-01	-3.500	B2M,FCGR1A,GBP1,GBP2,GBP4,GBP5,ICAM1,IFNGR2,IRF1,OAS3,PTPN1,SOCS3,SP100,STAT1,SUMO1,TRIM21	
Non-Small Cell Lung Cancer Signaling	2.96E00	1.7E-01	1.508	AKT3,CCND2,CDK6,EGF,HDAC9,ITPR1,ITPR2,KRAS,PA2G4,PIK3C3,PIK3CB,RALB,RAP1B,RAP2B,RASSF5,STK4	
Insulin Receptor Signaling	2.94E00	1.5E-01	-0.218	AKT3,CRKL,GSK3B,IRS1,KRAS,PIK3C3,PIK3CB,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PRKACB,PRKAR1A,PRKAR2B,PTEN,PTPN1,PTPRF,RALB,RAP1B,RAP2B,SOCS3	
NOD1/2 Signaling Pathway	2.93E00	1.38E-01	-3.138	CASP1,DEFA1 (includes others),DEFA4,ERBIN,FOS,HSP90AA1,HSP90B1,HSPA5,HSPA9,IFNAR1,IL1B,JUN,MAP4K4,MYD88,NFKBIA,NFKBIB,NLRP3,PYCARD,TGFB1,TLR1,TLR4,TNFAIP3,TNFSF10,TNFSF13B,TNFSF14,TNFSF4	
Cell Cycle: G1/S Checkpoint Regulation	2.92E00	1.88E-01	0.333	CCND2,CDC25A,CDK6,CDKN1A,CDKN1B,FBXL5,GNL3,GSK3B,HDAC9,MAX,PA2G4,RBX1,TGFB1	
Spliceosomal Cycle	2.91E00	2.08E-01	-2.714	BCAS2,CASC3,CWC15,CWC25,ISY1,MAGOH,MAGOHB,SF3A3,SF3B1,SF3B6,SLU7	
Kinesins	2.9E00	1.97E-01	-0.577	CENPE,KIF11,KIF18B,KIF20A,KIF2A,KIFC1,RACGAP1,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB1	
Apoptosis Signaling	2.9E00	1.63E-01	-0.775	BCL2A1,BCL2L11,BID,BIRC6,CDK1,KRAS,MAP3K5,MAP4K4,MCL1,NAIP,NFKBIA,NFKBIB,RALB,RAP1B,RAP2B,RELB,TNFRSF1A	
RHOGDI Signaling	2.9E00	1.32E-01	-0.775	ARHGDIA,ARHGEF12,ARPC2,ARPC3,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,ITGA2,ITGB1,ITGB2,ITGB5,LIMK2,MYL12A,PAK1,PAK2,PIP4K2A,PIP5K1C,RAC2,RHOG,ROCK2	
RHO GTPases activate IQGAPs	2.89E00	2.58E-01	1.414	CALM1 (includes others),IQGAP1,IQGAP2,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB1	
HGF Signaling	2.89E00	1.52E-01	0.728	AKT3,CDKN1A,CRKL,ELK3,FOS,ITGA2,ITGB1,ITGB2,ITGB5,JUN,KRAS,MAP3K5,PAK1,PIK3C3,PIK3CB,PTK2,PXN,RALB,RAP1B,RAP2B	
Toll-like Receptor Signaling	2.88E00	1.79E-01	-2.530	EIF2AK2,FOS,IL1B,IL1RN,JUN,LY96,MAP4K4,MYD88,NFKBIA,RELB,TLR1,TLR4,TNFAIP3,UBC	
GM-CSF Signaling	2.86E00	1.86E-01	0.302	AKT3,BCL2A1,CSF2RB,KRAS,PIK3C3,PIK3CB,PIM1,PPP3R1,RALB,RAP1B,RAP2B,RUNX1,STAT1	
Pulmonary Fibrosis Idiopathic Signaling Pathway	2.86E00	1.2E-01	0.801	ACVR1,ACVR2A,ADAM10,AKT3,BIRC5,COL17A1,COL24A1,EGR1,EIF4EBP2,F2R,FN1,FOS,GSK3B,IL1B,ILK,ITGA2,ITGB1,JARID2,JUN,KRAS,MMP8,MMP9,PDGFA,PIK3C3,PIK3CB,PTEN,PTK2,RALB,RAP1B,RAP2B,RBPJ,RELB,ROCK2,RPS6KC1,SMAD2,STAT6,TGFB1,THBS1,VIM	
Cytosolic sensors of pathogen-associated DNA	2.85E00	2.17E-01	-3.162	IFI16,MYD88,NFKBIA,NFKBIB,STAT6,TRIM21,UBC,XRCC5,XRCC6,ZBP1	
UFMylation Signaling Pathway	2.84E00	1.94E-01	-1.155	ABCA1,AKT3,EIF4G3,GSK3B,H3-3A/H3-3B,H3C3,IL1B,NBN,PAIP1,PDK1,TLR4,XBP1	
RHOA Signaling	2.83E00	1.53E-01	0.688	ARHGEF12,ARPC2,ARPC3,CDC42EP3,CIT,LIMK2,LPAR5,LPAR6,MYL12A,MYLK,PIP4K2A,PIP5K1C,PLD1,PPP1CB,PTK2,ROCK2,SEPTIN11,SEPTIN2,SEPTIN7	
Signaling by MET	2.83E00	1.77E-01	1.069	ARF6,COL24A1,CRKL,EPS15,FN1,ITGA2,ITGB1,KRAS,PTK2,PTPN1,PTPRJ,RANBP9,RAP1B,UBC	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	2.83E00	1.77E-01	0.277	CCL5,EIF2AK2,IL1B,JUN,MAP3K5,MYD88,NFKBIA,NFKBIB,PLA2G12A,PLA2G4A,PLAAT1,PNPLA8,PRDX6,TLR4	
Pathogen Induced Cytokine Storm Signaling Pathway	2.81E00	1.16E-01	-3.202	BHLHE40,CASP1,CCL5,CCR1,COL17A1,COL24A1,CSF2RB,CXCL5,CXCR1,CXCR2,FGB,FOS,FTH1,GZMB,HLA-DOA,IFIH1,IFNAR1,IFNGR2,IL18RAP,IL1B,IL1RN,IRF1,JUN,MYD88,NLRP3,PF4,PPBP,PRDM1,PYCARD,RAB27A,SLC2A5,SOCS3,SPI1,STAT1,TGFB1,TLR1,TLR4,TNFRSF1A,TNFSF10,TNFSF13B,TNFSF14,TNFSF4,ZBP1	
Platelet Aggregation (Plug Formation)	2.81E00	3.85E-01	2.236	ADRA2A,GP1BA,GP5,GP9,MPL	
HOTAIR Regulatory Pathway	2.8E00	1.41E-01	0.447	AGO4,AKT3,ATG3,CDKN1A,FOXM1,H3-3A/H3-3B,H3C3,ICAM1,IRF1,JARID2,KMT2C,LAMTOR5,MMP8,MMP9,NFKBIA,PIK3C3,PIK3CB,PTEN,RELB,ROCK2,TGFB1,TLR4,VIM	
Signaling by PTK6	2.77E00	2E-01	-2.111	CDKN1B,EGF,KHDRBS1,KRAS,LRRK2,PTPN1,PXN,RASA1,SFPQ,SOCS3,UBC	
DNA Damage Bypass	2.7E00	2.08E-01	-0.632	ISG15,PCNA,POLE2,POLE4,RBX1,RPA1,RPA3,UBC,UBE2L6,USP10	
Activation of the pre-replicative complex	2.7E00	2.42E-01	-0.707	GMNN,MCM4,MCM7,ORC4,POLE2,POLE4,RPA1,RPA3	
Erythropoietin Signaling Pathway	2.69E00	1.36E-01	0.626	AKT3,CCND2,CSF2RB,FOS,GSK3B,IL1B,ITPR1,ITPR2,JUN,KRAS,NFKBIA,NFKBIB,PIK3C3,PIK3CB,RAC2,RALB,RAP1B,RAP2B,RELB,TGFB1,TNFSF10,TNFSF13B,TNFSF14,TNFSF4	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	2.69E00	1.53E-01	2.000	FFAR2,GNAI3,GNAQ,GNAS,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,LPAR5,PLCB4,PLCH1,PRKACB,PRKAR1A,PRKAR2B	
Glioma Invasiveness Signaling	2.69E00	1.78E-01	0.577	F2R,KRAS,MMP9,PIK3C3,PIK3CB,PLAUR,PTK2,RAC2,RALB,RAP1B,RAP2B,RHOG,TIMP2	
HMGB1 Signaling	2.66E00	1.38E-01	-0.500	AKT3,FOS,HMGB1,ICAM1,IFNGR2,IL1B,JUN,KRAS,PIK3C3,PIK3CB,RAC2,RALB,RAP1B,RAP2B,RELB,RHOG,TGFB1,TLR4,TNFRSF1A,TNFSF10,TNFSF13B,TNFSF14,TNFSF4	
Pyridoxal 5'-phosphate Salvage Pathway	2.66E00	1.85E-01	-1.508	ACVR2A,CDK1,CDK6,EIF2AK2,GRK4,LIMK2,NEK2,PAK1,PAK2,PIM1,PLK1,PRKAA1	
Cholecystokinin/Gastrin-mediated Signaling	2.65E00	1.51E-01	0.243	FOS,GNAQ,IL1B,IL1RN,ITPR1,ITPR2,JUN,KRAS,MEF2C,PLCB4,PTK2,PXN,RAC2,RALB,RAP1B,RAP2B,RHOG,ROCK2	
ERK5 Signaling	2.63E00	1.76E-01	0.832	CREB5,EGF,FOS,GNAQ,KRAS,MEF2C,RALB,RAP1B,RAP2B,RPS6KC1,YWHAB,YWHAE,YWHAZ	
GABAergic Receptor Signaling Pathway (Enhanced)	2.61E00	1.44E-01	-0.894	ABAT,GLS,GNAI3,GNAO1,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GRINA,GUCY1A1,GUCY1B1,ITPR1,ITPR2,PRKACB,PRKAR1A,PRKAR2B,SLC38A2	
Effects of PIP2 hydrolysis	2.6E00	2.59E-01	2.646	DGKD,DGKG,ITPR1,ITPR2,MGLL,RASGRP2,TRPC6	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2.6E00	1.82E-01	1.000	AKT3,CCL5,CRKL,GNAI3,GSK3B,IFNAR1,NFKBIA,NFKBIB,PIK3C3,PIK3CB,PLAC8,RELB	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	2.59E00	4.44E-01	NaN	APOBEC3A,APOBEC3B,CDA,UPP1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	2.58E00	1.9E-01	0.378	CDC25A,CDK1,CDKN1A,CLSPN,NBN,PCNA,PLK1,PPM1L,PPP2R5C,RPA1,TLK1	
Activation of NMDA receptors and postsynaptic events	2.57E00	1.67E-01	1.941	CALM1 (includes others),DLG1,KPNA2,KRAS,NRGN,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB1	
Signaling by ERBB2	2.56E00	2E-01	1.265	AKT3,CUL5,DIAPH1,EGF,ERBIN,HSP90AA1,KRAS,PTPN12,PTPN18,UBC	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	2.54E00	1.42E-01	-3.130	CASP1,CEBPB,CEBPD,CEBPE,CHP1,EGR1,FN1,FOS,IL18RAP,IL1B,IL1RN,ITGB1,JUN,MMP8,MMP9,NLRP3,PPP3R1,PRKAA1,PYCARD,TNFRSF1A	
Multiple Sclerosis Signaling Pathway	2.53E00	1.26E-01	-2.646	BID,C1QB,CASP1,DUSP1,GRINA,HLA-DOA,IFNGR2,IL1B,IRF1,JARID2,MBP,MMP9,MPO,NLRP3,PARP9,PPARG,PYCARD,SLC8A1,STAT1,TGFB1,TIPARP,TLR1,TLR4,TNFRSF1A,TNFSF10,TNFSF13B,TNFSF14,TNFSF4	
Sertoli Cell-Sertoli Cell Junction Signaling	2.53E00	1.23E-01	1.095	ACTN1,AKT3,CLDN5,CREB5,DLG1,ICAM1,IL18RAP,ITGA2,ITGB1,JAM3,JUN,KRAS,MAP3K20,MAP3K5,PAK1,PAK2,PIK3C3,PIK3CB,PTK2,RALB,RAP1B,RAP2B,TNFRSF1A,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1,VCL	
Leptin Signaling in Obesity	2.53E00	1.71E-01	2.449	AKT3,GUCY1A1,GUCY1B1,LEPR,PDE3A,PIK3C3,PIK3CB,PLCB4,PLCH1,PRKACB,PRKAR1A,PRKAR2B,SOCS3	
RHO GTPases activate PAKs	2.52E00	2.86E-01	0.000	CALM1 (includes others),CTTN,MYLK,PAK1,PAK2,PPP1CB	
LPS-stimulated MAPK Signaling	2.52E00	1.65E-01	-1.155	FOS,JUN,KRAS,MAP3K5,NFKBIA,NFKBIB,PAK1,PIK3C3,PIK3CB,RALB,RAP1B,RAP2B,RELB,TLR4	
Polyamine Regulation in Colon Cancer	2.51E00	1.86E-01	-0.302	AKT3,ARG1,BCL2L11,EIF5A,FOS,GSK3B,JUN,KRAS,MXD1,ODC1,PPARG	
Hepatic Cholestasis	2.51E00	1.26E-01	-1.134	ABCC3,AKT3,CALM1 (includes others),CHP1,GUCY1A1,GUCY1B1,IL18RAP,IL1B,IL1RN,JUN,LY96,MYD88,NFKBIA,NFKBIB,PPP3R1,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,RARA,RELB,TGFB1,TLR4,TNFRSF1A,TNFSF10,TNFSF13B,TNFSF14,TNFSF4	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	2.51E00	1.3E-01	0.000	AKT3,EGF,EGR1,FOS,GSK3B,ID2,JUN,KRAS,MEST,MMP9,PDGFA,PIK3C3,PIK3CB,RALB,RAP1B,RAP2B,RELB,SMAD2,TGFB1,TNFRSF1A,TNFSF10,TNFSF13B,TNFSF14,TNFSF4,VIM	
MTOR signalling	2.5E00	2.5E-01	-1.890	LAMTOR2,LAMTOR4,LAMTOR5,RHEB,RPS6,RRAGD,YWHAB	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	2.5E00	1.96E-01	2.333	CCNB2,CDK1,CDKN1A,FBXL5,PLK1,RBX1,TOP2A,YWHAB,YWHAE,YWHAZ	
Platelet Adhesion to exposed collagen	2.49E00	3.33E-01	2.236	GP1BA,GP5,GP9,ITGA2,ITGB1	
Atherosclerosis Signaling	2.47E00	1.43E-01	NaN	CD36,ICAM1,IL1B,IL1RN,ITGB2,LYZ,MMP9,PDGFA,PLA2G12A,PLA2G4A,PLAAT1,PNPLA8,PRDX6,RELB,S100A8,SELPLG,SERPINA1,TGFB1,TNFSF14	
Netrin Signaling	2.47E00	1.33E-01	1.877	ABLIM1,ABLIM3,AKT3,ARPC2,ARPC3,CHP1,DPYSL2,ITPR1,ITPR2,NCK2,NFAT5,PAK1,PIK3C3,PIK3CB,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,PRKG1,PTK2,RAC2,VAMP3,VASP	
Cilium Assembly	2.46E00	1.27E-01	1.569	ARL13B,ASAP1,CCT5,CDK1,CEP162,DCTN3,DYNLL1,DYNLRB1,HSP90AA1,IFT20,IFT81,NEK2,PLK1,PRKAR2B,RAB11A,SCLT1,SEPTIN2,SFI1,TRIP11,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1,YWHAE	
Coronavirus Pathogenesis Pathway	2.46E00	1.27E-01	0.000	ADAM9,BCL2L11,CASP1,CCL5,CTSL,DDIT3,FOS,HDAC9,IFNAR1,IL1B,JUN,NFKBIA,NFKBIB,NLRP3,OAS3,PA2G4,PIK3C3,PYCARD,RELB,RPS2,RPS24,RPS6,RPSA,STAT1,TGFB1,ZC3HAV1	
GABA receptor activation	2.46E00	1.83E-01	-0.905	GNAI3,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,KCNJ15,KCNJ2,NPTN	
GADD45 Signaling	2.46E00	1.83E-01	2.714	ACVR1,ACVR2A,CCND2,CDK1,CDKN1A,GADD45B,IL1B,PCNA,RELB,SMAD2,TGFB1	
FLT3 Signaling	2.44E00	2.22E-01	-0.707	AKT3,BCL2L11,CDKN1B,GAB2,GRAP2,KRAS,PTPRJ,UBC	
Small Cell Lung Cancer Signaling	2.43E00	1.56E-01	1.890	AKT3,BID,CCND2,CDK6,CDKN1B,HDAC9,MAX,NFKBIA,NFKBIB,PA2G4,PIK3C3,PIK3CB,PTEN,PTK2,RELB	
Agrin Interactions at Neuromuscular Junction	2.43E00	1.74E-01	-0.577	CTTN,ITGB1,JUN,KRAS,PAK1,PAK2,PTK2,PXN,RAC2,RALB,RAP1B,RAP2B	
Regulation of mRNA stability by proteins that bind AU-rich elements	2.43E00	2.05E-01	-2.333	ANP32A,HNRNPD,NUP214,SET,UBC,YWHAB,YWHAZ,ZFP36,ZFP36L1	
MIF Regulation of Innate Immunity	2.43E00	2.05E-01	-1.414	FOS,JUN,LY96,NFKBIA,NFKBIB,PLA2G12A,PLA2G4A,RELB,TLR4	
Regulation of Actin-based Motility by Rho	2.43E00	1.48E-01	-0.258	ARHGDIA,ARPC2,ARPC3,ITGA2,ITGB1,ITGB2,ITGB5,MYL12A,MYLK,PAK1,PAK2,PIP4K2A,PIP5K1C,PPP1CB,RAC2,RHOG,WIPF1	
IL-17A Signaling in Fibroblasts	2.43E00	1.61E-01	-2.138	CEBPB,CEBPD,CXCL5,FN1,FOS,GSK3B,IL1B,JUN,NFKBIA,NFKBIB,NFKBIZ,P4HA2,RELB,TGFB1	
NF-κB Activation by Viruses	2.42E00	1.67E-01	0.577	AKT3,EIF2AK2,ITGA2,ITGB1,KRAS,NFKBIA,NFKBIB,PIK3C3,PIK3CB,RALB,RAP1B,RAP2B,RELB	
IL-7 Signaling Pathway	2.42E00	1.67E-01	0.905	AKT3,BCL6,CDC25A,CDKN1B,GSK3B,IGHG1,IL7,JUN,MCL1,PIK3C3,PIK3CB,PTK2,STAT1	
RHO GTPases Activate NADPH Oxidases	2.41E00	2.73E-01	-2.449	CYBA,NCF2,NCF4,RAC2,S100A8,S100A9	
Chaperone Mediated Autophagy	2.41E00	2.73E-01	-1.633	ARL13B,HSP90AA1,PLIN2,PLIN3,UBC,VIM	
S100 Family Signaling Pathway	2.41E00	9.84E-02	-2.065	ADAM10,ADRA2A,AKT3,ANXA1,ANXA2,APP,ATP2A2,ATP5F1B,AVPR1A,BCL3,C5AR1,CACYBP,CALM1 (includes others),CCR1,CD36,CDKN1A,CREB5,CXCR1,DEFA1 (includes others),DEFA4,EGF,F2R,FCGR1A,FCGR3A/FCGR3B,FFAR2,FOS,FPR1,FPR2,GPR160,GSK3B,HRH2,IGHG1,IGKC,IGLC2,IL1B,ILK,IQGAP1,ITPR1,ITPR2,JCHAIN,JUN,LPAR5,LPAR6,MMP8,MMP9,MYD88,NCF2,OXTR,P2RY1,P2RY12,P2RY13,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,PLCB4,PLCH1,PRKACB,PRKAR1A,PRKAR2B,PTGER2,RAC2,ROCK2,S100A10,S100A11,S100A12,S100A4,S100A6,S100A8,S100A9,S100P,SMAD2,TGFB1,TLR4,TPM1,TPM4	
Glioma Signaling	2.41E00	1.44E-01	2.111	AKT3,CALM1 (includes others),CCND2,CDK6,CDKN1A,EGF,HDAC9,IDH1,IDH3B,KRAS,PA2G4,PDGFA,PIK3C3,PIK3CB,PTEN,RALB,RAP1B,RAP2B	
Energy dependent regulation of mTOR by LKB1-AMPK	2.41E00	2.41E-01	-0.378	LAMTOR2,LAMTOR4,LAMTOR5,PPM1A,PRKAA1,RHEB,RRAGD	
Semaphorin Signaling in Neurons	2.4E00	1.8E-01	NaN	ARHGEF12,DPYSL2,ITGB1,LIMK2,PAK1,PAK2,PTK2,RAC2,RHOG,ROCK2,SEMA4D	
Calcium Transport I	2.4E00	4E-01	0.000	ANXA5,ATP2A2,ATP2B4,ATP2C1	
Thyroid Cancer Signaling	2.38E00	1.65E-01	0.832	AKT3,FOS,GSK3B,IRS1,JUN,KRAS,PDK1,PIK3C3,PIK3CB,PTEN,RALB,RAP1B,RAP2B	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.38E00	1.65E-01	-1.941	ADAM10,BIRC5,CEBPD,FOS,HSP90AA1,HSP90B1,IRF1,JUNB,MCL1,SERPINA1,SOCS3,STAT1,TGFB1	
Pancreatic Adenocarcinoma Signaling	2.37E00	1.43E-01	-0.302	AKT3,BIRC5,CDKN1A,CDKN1B,EGF,HDAC9,KRAS,MMP9,PA2G4,PIK3C3,PIK3CB,PLD1,RAD51,RALBP1,RELB,SMAD2,STAT1,TGFB1	
Signaling by TGF-beta Receptor Complex	2.37E00	1.89E-01	0.632	ITGB1,ITGB5,LTBP1,PARD3,PPP1CA,PPP1CB,SMAD2,TGFB1,UBC,UBE2M	
Complement System	2.37E00	2.16E-01	0.000	C1QB,C1QBP,C1R,C5AR1,CD59,CFH,ITGB2,SERPING1	
